Format Version,1.2,Take Name,Take 2016-04-17 05.34.28 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2016-04-17 05.34.28.916 PM,Total Frames,3813,Rotation Type,XYZ,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,4.218550,-24.331709,2.769663,-0.021114,0.951959,-0.281532,0.000132,-0.004192,0.998992,-0.247768,0.972657,-0.025621,0.931252,-0.357526,0.975523,-0.033528,0.925633,-0.239302,0.953038,16.977737,10.642170,-3.172376,-0.045310,0.630754,-0.273146,0.000200,-0.027238,0.619195,-0.237708,0.977129,-0.048266,0.651921,-0.268654,0.928113,-0.060426,0.621146,-0.313077,0.944521,-0.004161,0.998847,-0.247991,-0.025476,0.931212,-0.357813,-0.033487,0.925713,-0.239414,-0.027062,0.619076,-0.237804,-0.048194,0.651768,-0.268967,-0.060597,0.621335,-0.313039,-0.030292,0.564655,-0.271505
7,0.058333,4.219054,-24.333397,2.762705,-0.021088,0.951960,-0.281523,0.000131,-0.004161,0.998989,-0.247756,0.972060,-0.025596,0.931258,-0.357518,0.975615,-0.033506,0.925633,-0.239295,0.954113,16.978958,10.641424,-3.180614,-0.045294,0.630756,-0.273150,0.000203,-0.027223,0.619194,-0.237712,0.976118,-0.048247,0.651924,-0.268657,0.927417,-0.060412,0.621150,-0.313080,0.943977,-0.004127,0.998842,-0.247982,-0.025453,0.931220,-0.357802,-0.033461,0.925709,-0.239411,-0.027044,0.619074,-0.237807,-0.048174,0.651770,-0.268976,-0.060582,0.621337,-0.313045,-0.030282,0.564656,-0.271510
8,0.066667,4.226065,-24.343952,2.747800,-0.021079,0.951963,-0.281497,0.000132,-0.004146,0.998980,-0.247716,0.972060,-0.025580,0.931279,-0.357498,0.975615,-0.033511,0.925629,-0.239278,0.954113,16.978680,10.637394,-3.176357,-0.045281,0.630758,-0.273146,0.000203,-0.027212,0.619197,-0.237706,0.976118,-0.048235,0.651925,-0.268653,0.927417,-0.060395,0.621152,-0.313078,0.943977,-0.004109,0.998841,-0.247964,-0.025438,0.931229,-0.357788,-0.033445,0.925707,-0.239395,-0.027038,0.619080,-0.237800,-0.048171,0.651775,-0.268967,-0.060569,0.621342,-0.313038,-0.030262,0.564656,-0.271509
9,0.075000,4.237515,-24.343927,2.754881,-0.021042,0.951956,-0.281489,0.000129,-0.004115,0.998970,-0.247701,0.972105,-0.025540,0.931284,-0.357493,0.975232,-0.033471,0.925615,-0.239274,0.954032,16.980330,10.635165,-3.179596,-0.045264,0.630759,-0.273146,0.000200,-0.027197,0.619196,-0.237707,0.976450,-0.048217,0.651926,-0.268654,0.927341,-0.060378,0.621154,-0.313079,0.944299,-0.004080,0.998838,-0.247942,-0.025410,0.931234,-0.357776,-0.033422,0.925706,-0.239389,-0.027021,0.619077,-0.237806,-0.048144,0.651774,-0.268970,-0.060548,0.621341,-0.313042,-0.030260,0.564658,-0.271506
10,0.083333,4.239055,-24.339981,2.751612,-0.021019,0.951960,-0.281471,0.000130,-0.004088,0.998972,-0.247682,0.972760,-0.025524,0.931292,-0.357476,0.976089,-0.033447,0.925617,-0.239256,0.953290,16.983103,10.632193,-3.176493,-0.045252,0.630762,-0.273136,0.000197,-0.027187,0.619197,-0.237696,0.976823,-0.048206,0.651929,-0.268643,0.928950,-0.060363,0.621159,-0.313070,0.946163,-0.004059,0.998842,-0.247918,-0.025393,0.931240,-0.357759,-0.033405,0.925714,-0.239365,-0.027013,0.619080,-0.237792,-0.048147,0.651785,-0.268947,-0.060531,0.621345,-0.313033,-0.030242,0.564663,-0.271497
11,0.091667,4.225085,-24.335798,2.735967,-0.021002,0.951968,-0.281454,0.000131,-0.004056,0.998979,-0.247673,0.972135,-0.025519,0.931290,-0.357455,0.975808,-0.033432,0.925633,-0.239235,0.953974,16.986692,10.635781,-3.167183,-0.045239,0.630763,-0.273129,0.000204,-0.027172,0.619198,-0.237690,0.975394,-0.048197,0.651929,-0.268633,0.927052,-0.060349,0.621161,-0.313063,0.944575,-0.004025,0.998836,-0.247898,-0.025379,0.931251,-0.357738,-0.033389,0.925713,-0.239348,-0.026994,0.619078,-0.237782,-0.048136,0.651783,-0.268944,-0.060519,0.621349,-0.313024,-0.030236,0.564667,-0.271484
12,0.100000,4.240074,-24.339212,2.737828,-0.020967,0.951965,-0.281433,0.000128,-0.004024,0.998968,-0.247639,0.972135,-0.025478,0.931306,-0.357440,0.975808,-0.033399,0.925620,-0.239221,0.953974,16.984554,10.631514,-3.167748,-0.045225,0.630766,-0.273119,0.000200,-0.027160,0.619202,-0.237678,0.975394,-0.048182,0.651932,-0.268624,0.927052,-0.060333,0.621163,-0.313054,0.944575,-0.003997,0.998843,-0.247871,-0.025355,0.931259,-0.357721,-0.033358,0.925715,-0.239328,-0.026985,0.619083,-0.237772,-0.048126,0.651788,-0.268928,-0.060505,0.621353,-0.313010,-0.030218,0.564661,-0.271479
13,0.108333,4.243599,-24.340967,2.738307,-0.020940,0.951962,-0.281419,0.000129,-0.003999,0.998964,-0.247621,0.973575,-0.025449,0.931308,-0.357427,0.976521,-0.033373,0.925614,-0.239208,0.954004,16.987934,10.638057,-3.167976,-0.045213,0.630766,-0.273112,0.000195,-0.027144,0.619200,-0.237674,0.976479,-0.048170,0.651932,-0.268615,0.927734,-0.060324,0.621165,-0.313046,0.945472,-0.003972,0.998838,-0.247853,-0.025329,0.931263,-0.357704,-0.033334,0.925713,-0.239313,-0.026974,0.619085,-0.237771,-0.048111,0.651788,-0.268920,-0.060492,0.621351,-0.313005,-0.030205,0.564664,-0.271467
14,0.116667,4.242453,-24.342379,2.729797,-0.020919,0.951964,-0.281401,0.000127,-0.003972,0.998962,-0.247601,0.973518,-0.025430,0.931313,-0.357409,0.976435,-0.033357,0.925616,-0.239191,0.954777,16.986128,10.635577,-3.174628,-0.045195,0.630765,-0.273105,0.000202,-0.027128,0.619199,-0.237666,0.976479,-0.048150,0.651932,-0.268610,0.926222,-0.060308,0.621163,-0.313039,0.945731,-0.003941,0.998836,-0.247837,-0.025305,0.931265,-0.357688,-0.033314,0.925709,-0.239299,-0.026951,0.619077,-0.237764,-0.048096,0.651791,-0.268919,-0.060476,0.621351,-0.312992,-0.030187,0.564662,-0.271468
15,0.125000,4.246440,-24.340120,2.731245,-0.020894,0.951964,-0.281382,0.000125,-0.003946,0.998960,-0.247580,0.973403,-0.025406,0.931318,-0.357392,0.977063,-0.033329,0.925613,-0.239174,0.955451,16.982149,10.630492,-3.175360,-0.045180,0.630762,-0.273101,0.000202,-0.027116,0.619198,-0.237660,0.976413,-0.048134,0.651929,-0.268608,0.926891,-0.060290,0.621158,-0.313035,0.945238,-0.003916,0.998836,-0.247814,-0.025285,0.931272,-0.357668,-0.033283,0.925706,-0.239285,-0.026942,0.619080,-0.237755,-0.048081,0.651786,-0.268916,-0.060461,0.621349,-0.312992,-0.030177,0.564663,-0.271462
